compartment_src,compartment_dest,corrected_flow
h1r1,h6r0,0.0
h1r1,h6r1,0.0
h1r1,h6r2,0.0
h1r1,h7r0,0.0
h1r1,h7r1,0.0
h1r1,h7r2,0.0
h1r2,h0r0,0.0
h1r2,h0r1,0.0
h1r2,h0r2,0.07980429086807034
h1r2,h1r0,0.0
h1r2,h1r1,0.005604408910041088
h1r2,h1r2,0.0
h1r2,h2r0,0.0
h1r2,h2r1,0.0
h1r2,h2r2,0.0009945924461693119
h1r2,h3r0,0.0
h1r2,h3r1,0.0
h1r2,h3r2,0.0
h1r2,h4r0,0.0
h1r2,h4r1,0.0
h1r2,h4r2,0.0
h1r2,h5r0,0.0
h1r2,h5r1,0.0
h1r2,h5r2,0.0
h1r2,h6r0,0.0
h1r2,h6r1,0.0
h1r2,h6r2,0.0
h1r2,h7r0,0.0
h1r2,h7r1,0.0
h1r2,h7r2,0.0
h2r0,h0r0,0.0
h2r0,h0r1,0.0
h2r0,h0r2,0.0
h2r0,h1r0,1.2103105535891538e-05
h2r0,h1r1,0.0
h2r0,h1r2,0.0
h2r0,h2r0,0.0
h2r0,h2r1,0.0681696917852736
h2r0,h2r2,0.0
h2r0,h3r0,-1.7910804151178632e-06
h2r0,h3r1,0.0
h2r0,h3r2,0.0
h2r0,h4r0,0.0
h2r0,h4r1,0.0
h2r0,h4r2,0.0
h2r0,h5r0,0.0
h2r0,h5r1,0.0
h2r0,h5r2,0.0
h2r0,h6r0,0.0
h2r0,h6r1,0.0
h2r0,h6r2,0.0
h2r0,h7r0,0.0
h2r0,h7r1,0.0
h2r0,h7r2,0.0
h2r1,h0r0,0.0
h2r1,h0r1,0.0
h2r1,h0r2,0.0
h2r1,h1r0,0.0
h2r1,h1r1,0.0
h2r1,h1r2,0.0
h2r1,h2r0,0.006263834208731358
h2r1,h2r1,0.0
h2r1,h2r2,0.1244983184392101
h2r1,h3r0,0.0
h2r1,h3r1,0.0008707829833086889
h2r1,h3r2,0.0
h2r1,h4r0,0.0
h2r1,h4r1,0.0
h2r1,h4r2,0.0
h2r1,h5r0,0.0
h2r1,h5r1,0.0
h2r1,h5r2,0.0
h2r1,h6r0,0.0
h2r1,h6r1,0.0
h2r1,h6r2,0.0
h2r1,h7r0,0.0
h2r1,h7r1,0.0
h2r1,h7r2,0.0
h2r2,h0r0,0.0
h2r2,h0r1,0.0
h2r2,h0r2,0.0
h2r2,h1r0,0.0
h2r2,h1r1,0.0
h2r2,h1r2,0.07266033732133517
h2r2,h2r0,0.0
h2r2,h2r1,0.0
h2r2,h2r2,0.0
h2r2,h3r0,0.0
h2r2,h3r1,0.0
h2r2,h3r2,0.05457995337605259
h2r2,h4r0,0.0
h2r2,h4r1,0.0
h2r2,h4r2,0.0
h2r2,h5r0,0.0
h2r2,h5r1,0.0
h2r2,h5r2,0.0
h2r2,h6r0,0.0
h2r2,h6r1,0.0
h2r2,h6r2,0.0
h2r2,h7r0,0.0
h2r2,h7r1,0.0
h2r2,h7r2,0.0
h3r0,h0r0,0.0
h3r0,h0r1,0.0
h3r0,h0r2,0.0
